# Shot Clock Trainer — timings.csv
#
# Each row maps a YouTube video timestamp to a game event.
#
# Columns:
#   video_time  — seconds from the start of the YouTube video
#   event_type  — one of:
#                   QuarterStart    (quarter begins; set game_clock to full quarter length)
#                   QuarterEnd      (quarter ends)
#                   GameClockStart  (clock starts running)
#                   GameClockStop   (clock stops: dead ball, timeout, etc.)
#                   ShotClockStart  (shot clock begins counting)
#                   ShotClockStop   (shot clock stops with time remaining)
#                   ShotClockReset24 (shot clock reset to 24 seconds)
#                   ShotClockReset14 (shot clock reset to 14 seconds)
#   quarter     — 1, 2, 3, or 4
#   game_clock  — remaining time in quarter as MM:SS (e.g. 11:45)
#   shot_clock  — shot clock value in seconds (decimal ok); blank if not applicable
#   notes       — short description of the event/rule (e.g. "Turnover", "Shooting Foul")
#                 displayed on screen when the event fires; blank to show nothing
#
# Replace the sample rows below with the actual timecodes for this video.
#
video_time,event_type,quarter,game_clock,shot_clock,notes
1145,ShotClockReset24,2,04:04,24,Recovered by Defence
1145,ShotClockStart,2,04:04,,
1165,ShotClockStop,2,03:44,,Score
1165,ShotClockReset24,2,03:44,24,
1167,ShotClockStart,2,03:42,,
1177,ShotClockStop,2,03:32,,Score
1177,ShotClockReset24,2,03:32,24,
1180,ShotClockStart,2,03:29,,
1192,ShotClockStop,2,03:17,,Ball Hit Ring
1194,ShotClockReset24,2,03:15,24,Recovered by Defence
1194,ShotClockStart,2,03:15,,
1211,ShotClockStop,2,02:58,,Score
1211,ShotClockReset24,2,02:58,24,
1214,ShotClockStart,2,02:55,,
1225,ShotClockStop,2,02:44,,Score
1225,ShotClockReset24,2,02:44,24,
1228,ShotClockStart,2,02:41,,
1237,ShotClockReset24,2,02:32,24,Turnover
1241,ShotClockReset24,2,02:28,24,Turnover
1247,ShotClockStop,2,02:22,,Ball Hit Ring
1248,ShotClockStart,2,02:21,,(No reset due to being over 14 seconds)
1251,ShotClockReset24,2,02:18,24,Turnover
1256,ShotClockStop,2,02:13,,Score
1256,ShotClockReset24,2,02:13,24,
1259,ShotClockStart,2,02:10,,
1275,ShotClockStop,2,01:54,,Ball Hit Ring
1276,ShotClockReset24,2,01:53,24,Recovered by Defence
1276,ShotClockStart,2,01:53,,
1280,QuarterEnd,2,01:49,,
1291,QuarterStart,3,10:00,,
1291,ShotClockReset24,3,10:00,24,
1291,GameClockStart,3,10:00,,
1291,ShotClockStart,3,10:00,,
1303,ShotClockStop,3,09:48,,Score
1303,ShotClockReset24,3,09:48,24,
1305,ShotClockStart,3,09:46,,
1315,ShotClockStop,3,09:36,,Ball Hit Ring
1317,ShotClockReset14,3,09:34,14,Recovered by Offense
1324,GameClockStop,3,09:27,,Out of Bounds
1324,ShotClockStop,3,09:27,,
1327,ShotClockReset24,3,09:27,,Turnover (Wait for Ref's Signal)
1335,GameClockStart,3,09:27,,
1335,ShotClockStart,3,09:27,,
1352,ShotClockStop,3,09:10,,Score
1352,ShotClockReset24,3,09:10,24,
1355,ShotClockStart,3,09:07,,
1368,ShotClockReset24,3,08:54,24,Turnover
1383,ShotClockStop,3,08:39,,Ball Hit Ring
1385,ShotClockReset24,3,08:37,24,Recovered by Defence
1385,ShotClockStart,3,08:37,,
1392,ShotClockStop,3,08:30,,Ball Hit Ring
1394,ShotClockReset24,3,08:28,24,Recovered by Defence
1394,ShotClockStart,3,08:28,,
1402,GameClockStop,3,08:20,,Turnover (Travel)
1402,ShotClockStop,3,08:20,,
1402,ShotClockReset24,3,08:20,24,
1417,GameClockStart,3,08:20,,
1417,ShotClockStart,3,08:20,,
1428,GameClockStop,3,08:09,,Shooting Foul
1428,ShotClockStop,3,08:09,,
1428,ShotClockReset24,3,08:09,24,
1461,GameClockStart,3,08:09,,
1461,ShotClockStart,3,08:09,,
1464,GameClockStop,3,08:06,,Shooting Foul
1464,ShotClockStop,3,08:06,,
1464,ShotClockReset24,3,08:06,24,
1496,GameClockStart,3,08:06,,
1496,ShotClockStart,3,08:06,,
1505,ShotClockReset24,3,07:57,24,Turnover
1510,GameClockStop,3,07:52,,Shooting Foul
1510,ShotClockStop,3,07:52,,
1510,ShotClockReset24,3,07:52,24,
1546,GameClockStart,3,07:52,,
1546,ShotClockStart,3,07:52,,
1557,ShotClockStop,3,07:41,,Score
1557,ShotClockReset24,3,07:41,24,
1559,ShotClockStart,3,07:39,,
1571,ShotClockStop,3,07:27,,Score
1571,ShotClockReset24,3,07:27,24,
1574,ShotClockStart,3,07:24,,
1597,ShotClockStop,3,07:01,,Score
1597,ShotClockReset24,3,07:01,24,
1599,ShotClockStart,3,06:59,,
1620,ShotClockReset24,3,06:38,24,Turnover
1625,ShotClockStop,3,06:33,,Score
1625,ShotClockReset24,3,06:33,24,
1627,ShotClockStart,3,06:31,,
1642,GameClockStop,3,06:16,,Shooting Foul
1642,ShotClockStop,3,06:16,,
1642,ShotClockReset24,3,06:16,24,
1696,GameClockStart,3,06:16,,
1696,ShotClockStart,3,06:16,,
1702,GameClockStop,3,06:10,,
1702,ShotClockStop,3,06:10,,
1718,GameClockStart,3,06:10,,
1718,ShotClockStart,3,06:10,,
1726,ShotClockStop,3,06:02,,Ball Hit Rim
1729,ShotClockReset24,3,05:59,24,Recovered by Defence
1738,ShotClockStart,3,05:50,,
1750,ShotClockStop,3,05:38,,Ball Hit Rim
1751,ShotClockReset24,3,05:37,24,Recovered by Defence
1751,ShotClockStart,3,05:37,,
1763,ShotClockStop,3,05:25,,Score
1763,ShotClockReset24,3,05:25,24,
1767,ShotClockStart,3,05:21,,
1777,GameClockStop,3,05:11,,Out Of Bounds
1777,ShotClockStop,3,05:11,,
1790,GameClockStart,3,05:11,,
1790,ShotClockStart,3,05:11,,
1797,GameClockStop,3,05:04,,Shooting Foul
1797,ShotClockStop,3,05:04,,
1797,ShotClockReset24,3,05:04,24,
1829,GameClockStart,3,05:04,,
1829,ShotClockStart,3,05:04,,
1844,ShotClockStop,3,04:49,,Score
1844,ShotClockReset24,3,04:49,24,
1847,ShotClockStart,3,04:46,,
1859,ShotClockStop,3,04:34,,Ball Hit Rim
1860,ShotClockReset14,3,04:33,14,Recovered by Offense
1860,ShotClockStart,3,04:33,,
1862,ShotClockStop,3,04:31,,Ball Hit Rim
1863,ShotClockReset14,3,04:30,14,Recovered by Offense
1863,ShotClockStart,3,04:30,,
1864,ShotClockStop,3,04:29,,Score
1864,ShotClockReset24,3,04:29,24,
1866,ShotClockStart,3,04:27,,
1875,GameClockStop,3,04:18,,Shooting Foul
1875,ShotClockStop,3,04:18,,
1875,ShotClockReset24,3,04:18,24,
1926,GameClockStart,3,04:18,,
1926,ShotClockStart,3,04:18,,
1930,GameClockStop,3,04:14,,Foul (Bonus Free Throws)
